"tree_node_id";"period_id";"state_id";"effect_id";"currency_id";"financials_decumulated_amount";"financials_cumulated_amount";"financials_base_currency_flag";"financials_level_aggregation";"snapshot_date"
b3a1ae86336244e692121373ba2240b7;"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;473;473;true;;"2021-02-18 23:59:59"
b3a1ae86336244e692121373ba2240b7;"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;266;266;true;;"2021-02-18 23:59:59"
b3a1ae86336244e692121373ba2240b7;"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;739;739;true;;"2021-02-18 23:59:59"
"316210fbe8d84a3fa7574f1788e097ef";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;593;593;true;;"2021-02-18 23:59:59"
"316210fbe8d84a3fa7574f1788e097ef";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;388;388;true;;"2021-02-18 23:59:59"
"316210fbe8d84a3fa7574f1788e097ef";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;510;510;true;;"2021-02-18 23:59:59"
"316210fbe8d84a3fa7574f1788e097ef";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;898;898;true;;"2021-02-18 23:59:59"
"316210fbe8d84a3fa7574f1788e097ef";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;593;593;true;;"2021-02-18 23:59:59"
"316210fbe8d84a3fa7574f1788e097ef";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1491;1491;true;;"2021-02-18 23:59:59"
"89ba0338456845d18768a50c324c46e4";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;161;161;true;;"2021-02-18 23:59:59"
"89ba0338456845d18768a50c324c46e4";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;263;263;true;;"2021-02-18 23:59:59"
"89ba0338456845d18768a50c324c46e4";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;216;216;true;;"2021-02-18 23:59:59"
"89ba0338456845d18768a50c324c46e4";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;377;377;true;;"2021-02-18 23:59:59"
